case,pv01,dv01_01,dv01_02,pv04_01,pv27,pv05,pv06_01,pv07_01,pv32_01,pv09,pv09_01,pv09_02,sd37,sd37_01,sd37_02,pv10,pv31,pv26,pv17,pv24,pv30,pv11_01,pv12,pv13_01,pv35,pv34,pv28,sd01,sd25_01,sd09_01,sd10,sd10_09,sd12,sd12_01,sd12_02,sd12_03,sd12_04,sd12_05,sd12_06,sd12_07,sd12_08,sd12_09,sd12_14,sd12_13,sd12_13a,sd14,sd14_10,sd17_01,sd40_01,sd21,sd21_10,sd30,sd50,sd50_01,sd50_02,sd47,sd47_01,sd47_02,sd45,sd45_01,sd45_02,sd36,sd36_01,sd36_02,sd52,sd52_01,sd52_02,sd49,sd49_01,sd49_02,sd44,sd44_01,sd44_02,sd41_16_cn,sd41_16_1,sd41_16_2,sd41_16_3,sd41_16_4,sd41_16_5,sd41_17_cn,sd41_17_1,sd41_17_2,sd41_17_3,sd41_17_4,sd41_17_5,sd41_12_cn,sd41_12_1,sd41_12_2,sd41_12_3,sd41_12_4,sd41_12_5,sd41_13_cn,sd41_13_1,sd41_13_2,sd41_13_3,sd41_13_4,sd41_13_5,sd41_07_cn,sd41_07_1,sd41_07_2,sd41_07_3,sd41_07_4,sd41_07_5,sd41_18_cn,sd41_18_1,sd41_18_2,sd41_18_3,sd41_18_4,sd41_18_5,sd41_15_cn,sd41_15_1,sd41_15_2,sd41_15_3,sd41_15_4,sd41_15_5,sd41_06_cn,sd41_06_1,sd41_06_2,sd41_06_3,sd41_06_4,sd41_06_5,sd41_11_cn,sd41_11_1,sd41_11_2,sd41_11_3,sd41_11_4,sd41_11_5,sd41_04_cn,sd41_04_1,sd41_04_2,sd41_04_3,sd41_04_4,sd41_04_5,sd41_03_cn,sd41_03_1,sd41_03_2,sd41_03_3,sd41_03_4,sd41_03_5,sd41_05_cn,sd41_05_1,sd41_05_2,sd41_05_3,sd41_05_4,sd41_05_5,sd41_10_cn,sd41_10_1,sd41_10_2,sd41_10_3,sd41_10_4,sd41_10_5,sd41_09_cn,sd41_09_1,sd41_09_2,sd41_09_3,sd41_09_4,sd41_09_5,sd43_16_cn,sd43_16_1,sd43_16_2,sd43_16_3,sd43_17_cn,sd43_17_1,sd43_17_2,sd43_17_3,sd43_12_cn,sd43_12_1,sd43_12_2,sd43_12_3,sd43_13_cn,sd43_13_1,sd43_13_2,sd43_13_3,sd43_07_cn,sd43_07_1,sd43_07_2,sd43_07_3,sd43_18_cn,sd43_18_1,sd43_18_2,sd43_18_3,sd43_15_cn,sd43_15_1,sd43_15_2,sd43_15_3,sd43_06_cn,sd43_06_1,sd43_06_2,sd43_06_3,sd43_11_cn,sd43_11_1,sd43_11_2,sd43_11_3,sd43_04_cn,sd43_04_1,sd43_04_2,sd43_04_3,sd43_03_cn,sd43_03_1,sd43_03_2,sd43_03_3,sd43_05_cn,sd43_05_1,sd43_05_2,sd43_05_3,sd43_10_cn,sd43_10_1,sd43_10_2,sd43_10_3,sd43_09_cn,sd43_09_1,sd43_09_2,sd43_09_3,sd39,sd38,sd51,sd48,sd46,sd54_01,ta02,ta03_count,ta03_1,ta03_2,ta03_3,ta03_4,ta03_5,ta03_6,ta03_7,ta03_8,ta03_9,ta03_10,ta03_11,ta03_12,ta03_13,ta03_14,ta03_15,ta03_16,ta03_17,ta03_18,ta03_19,ta03_20,ta03_21,ta03_22,ta03_23,ta03_24,ta04_count,ta04_1,ta04_2,ta04_3,ta04_4,ta04_5,ta04_6,ta04_7,ta04_8,ta04_9,ta04_10,ta04_11,ta04_12,ta04_13,ta04_14,ta04_15,ta04_16,ta04_17,ta04_18,ta04_19,ta04_20,ta04_21,ta04_22,ta04_23,ta04_24,ta05_01,ta06_01,ta07_01,ta08_01,ta09_01,age,protrans_att,protrans_attex,pronuke_att,num_charg,sizeclas,school,isced11,nuts2,nuts3,flatsize,hh_size,num_chld,hh_inc,size_pp,pv_year,fit,pv_pow,pv_cost,pv_gen23,pv_fin23,pv_fin23eur,pv_gen22,pv_fin22,pv_fin22eur,pv_purc,pv_purceur,pvfi_23,pvfi_22,no_purc,no_purceur,elcpur23_pv,elcpur23_non,elcpur23,pvsc_23,pvsc_22,raus,outlier,filter,tv,dish,wash,dryer,pc,oven,freezer,heater,ebike,ecar,aircon,sauna,pool,fridge,,ta08_01_korr
2576,1,8,9,"3,6",2,25,3600,1000, ,2, ,200,1,2000, ,2,2,3, ,3,6, , , ,2, , ,2,1973,    9399,5, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,3800,150,3, ,1,2, ,1200, , , , , , , , , ,2, ,0, , , , , , ,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,-8, , ,9,24,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,",3",3,60,35,10,50,"2,5","2,38461538461538",2,2,3,2,3,93,939,150,3,1,3800,50,2023,"8,2","3,6",3600,1000, ,200, , , ,2000, ,"2439,0243902439", , , ,2000, ,2000,"-1439,0243902439", ,0, , ,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,34
2802,1,9,8,"1,22",2,20,9000,1900, ,1,1500, ,1,300, ,1,2,2,4,3,3,"1,1",8,400,2, ,2,2,1976,   86470,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,4, ,3300,143,4, ,2,1,340, , , , , , , , , , ,1,1000, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,8,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,"1,1",4,45,41,15,47,"2,9","2,84615384615385","2,5",5,1,5,7,86,864,143,4,2,3300,"35,75",2018,"12,05","1,22",9000,1900,1500, , , , ,300, ,1500, , , ,300, ,300,400, ,0, , ,2,2,2,2,2,1,1,1,2,2,2,1,1,1,,40
3473,1,4,4,"3,6",2,21,1500,2578, ,1,1658, ,1,438, ,2,2,5, ,22,22, , , ,2, , ,2,1969,   34454,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,4, ,3000,70,1, ,0,2, ,800, , , , , , ,2, ,85,2, ,580, , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2, , ,6,23,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,56,-1,5,54,3,3,3,1,3,2,3,34,344,70,1, ,3000,70,2019,"10,72","3,6",1500,2578,1658, , , , ,438, ,1658, , , ,438, ,438,920, ,0, , ,1,1,1,1,1,1,1,1,2,2,1,2,2,1,,
3695,1,8,6,"9,7",2,25, ,38, ,2, , ,2, ,1000,1,2,1,15,15,6,10,15,6700,3, ,1,2,1984,   65326,6, ,1,1,1,1,1,1,2,1,1,1,1,1, ,5, ,5500,146,4, ,2,2, ,2200, , , , , , ,2, ,380,2, ,350, , , , , , ,0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, , ,4,4,6,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1, ,"3,5",11,51,50,39,"2,7","2,69230769230769",3,7,9,2,3,65,653,146,4,2,5500,"36,5",2023,"8,2","9,7", ,38, , , , , , ,1000, , , , ,"2161,22757726389", ,"2161,22757726389", , ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,1,,50
3754,1,7,5,"2,5",2,19,15000,2354, ,2, ,",19",1,1200, ,1,2,2,10,10,10,"2,5",9,1500,1, ,2,1,1971,   35460,4, ,1,1,2,1,1,1,1,1,1,1,1,1, ,4, ,4000,140,2, ,0,2, ,600, , , , , , , , , ,1,1000, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,8,-9,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1, , , ,-9, ,52,"3,1",3,"3,5",-9,2,2,2,35,354,140,2, ,4000,70,2017,"12,2","2,5",15000,2354, , , , , ,1200, , , , , ,1200, ,1200, , ,0, , ,2,2,2,2,2,1,1,2,2,2,1,1,1,1,,
4319,1,9,7,"1,23",1,24,53278,3243, ,1,2234, ,1,1077, ,2,2,2, ,4,5, , , ,3, , ,1,1990,   67310,4, ,1,1,1,2,1,1,1,1,1,1,1,1, ,-9, ,3209,150,4, ,2,1,5555, , , , , , , , , , ,1,4225, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,1,23,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,"3,1","1,5",40,66,70,33,"2,7","2,76923076923077",3,1,1,2,3,67,673,150,4,2,3209,"37,5",2022,"7,23","1,23",53278,3243,2234, , , , ,1077, ,2234, , , ,1077, ,1077,1009, ,0, , ,2,2,1,2,1,2,1,2,2,2,2,2,1,1,,65
4904,1,8,6,"1,2",2,23,25000,2500, ,1,1500, ,1,500, ,1,2,2,10,15,6,5000,14,5000,1, ,1,2,1993,   90431,6, ,1,1,1,1,1,2,1,1,1,1,1,1, ,4, ,7000,147,4, ,2,1,20000, , , , , , , ,1,5000, ,1,500, , , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1, , ,8,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,",5",4,1000,36,12,30,"3,2","3,07692307692308","2,5",4,1,2,6,90,904,147,4,2,7000,"36,75",2021,"7,53","1,2",25000,2500,1500, , , , ,500, ,1500, , , ,500, ,500,1000, ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,1,1,,35
5879,1,9,10,10,2,24,30000,6000, ,1,2000, ,2, ,0,1,2,3,6,20,10,7000,14,2600,3, ,1,1,1967,   39218,6, ,1,1,1,1,1,1,1,2,1,1,1,1, ,4, ,5000,100,3, ,0,1,3500, , , , , , , , , , ,1,0, , , , , , , ,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,7,23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,56,29,50,56,"2,3",2,3,1,10,4,6,39,392,100,3, ,5000,"33,3333333333333",2022,"7,23",10,30000,6000,2000, , , , , ,0,2000, , , ,0, ,0,4000, ,0, , ,1,1,1,1,1,1,1,2,2,2,1,2,1,1,,28
6425,1,6,7,"1,3",2,21,421,231, ,1,25, ,1,42, ,1,2,1,3,7,3,"1,5",12,26,3, ,1,2,2003,   25474,7, ,1,1,1,1,1,1,1,1,2,1,1,1, ,3, ,17,21,4, ,0,1,13, , , , , , , ,1,24, ,2, ,235, , , , , , ,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,3,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2, , ,3,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,"1,3","1,1",23,30,13,20,"3,5","3,07692307692308","1,5",7,1,5,7,25,254,21,4, ,17,"5,25",2019,"10,72","1,3",421,231,25, , , , ,42, ,25, , , ,42, ,42,206, ,0, , ,2,2,1,2,2,2,1,2,2,2,1,2,2,1,,29
1710,1,6,6,10,1,25,26000,10, ,2, ,0,2, ,600,1,2,2,7,22,4,5,15,5000,1, ,1,1,1973,   85435,4, ,1,1,1,1,1,1,2,1,1,1,1,1, ,5, ,2500,150,3, ,0,2, ,600, , , , , , , , , ,2, ,0, , , , , , ,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2, , ,6,23,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,30,31,10,50,3,"2,92307692307692","2,5",1,10,2,3,85,854,150,3, ,2500,50,2023,"8,2",10,26000,10, ,0, , , , ,600,0, , , ,"1296,73654635833", ,"1296,73654635833",10, ,0, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,30
