scenario,simyear,value
exp_baseline,2030,82.32
exp_baseline,2030,77.30
exp_baseline,2030,83.31
exp_baseline,2030,78.30
exp_baseline,2030,83.32
exp_baseline,2030,79.30
exp_baseline,2030,79.30
exp_baseline,2030,78.30
exp_baseline,2030,77.30
exp_baseline,2030,78.30
exp_baseline,2030,18.13
exp_baseline,2030,82.32
exp_baseline,2030,48.13
exp_baseline,2030,17.13
exp_baseline,2030,77.30
exp_baseline,2030,82.31
exp_baseline,2030,81.31
exp_baseline,2030,78.30
exp_baseline,2030,80.30
exp_baseline,2030,20.13
exp_baseline,2030,79.30
exp_baseline,2030,19.13
exp_baseline,2030,82.31
exp_baseline,2030,83.32
exp_baseline,2030,79.30
exp_baseline,2030,77.30
exp_baseline,2030,78.30
exp_baseline,2030,47.13
exp_baseline,2030,83.31
exp_baseline,2030,84.31
exp_baseline,2030,76.30
exp_baseline,2030,81.31
exp_baseline,2030,80.31
exp_baseline,2030,76.30
exp_baseline,2030,79.75
exp_baseline,2030,-50.00
exp_baseline,2030,79.75
exp_baseline,2030,-48.00
exp_baseline,2030,79.75
exp_baseline,2030,6.42
exp_baseline,2030,-49.00
exp_baseline,2030,-50.00
exp_baseline,2030,-49.00
exp_baseline,2030,-50.00
exp_baseline,2030,5.81
exp_baseline,2030,78.75
exp_baseline,2030,74.52
exp_baseline,2030,4.81
exp_baseline,2030,5.42
exp_baseline,2030,78.75
exp_baseline,2030,77.75
exp_baseline,2030,-47.00
exp_baseline,2030,77.75
exp_baseline,2030,4.16
exp_baseline,2030,-49.00
exp_baseline,2030,5.16
exp_baseline,2030,78.75
exp_baseline,2030,79.75
exp_baseline,2030,-49.00
exp_baseline,2030,6.16
exp_baseline,2030,-50.00
exp_baseline,2030,74.98
exp_baseline,2030,78.75
exp_baseline,2030,79.75
exp_baseline,2030,5.16
exp_baseline,2030,77.75
exp_baseline,2030,76.75
exp_baseline,2030,-48.00
exp_baseline,2030,82.35
exp_baseline,2030,85.00
exp_baseline,2030,86.00
exp_baseline,2030,84.99
exp_baseline,2030,85.00
exp_baseline,2030,85.00
exp_baseline,2030,87.00
exp_baseline,2030,86.00
exp_baseline,2030,85.00
exp_baseline,2030,84.00
exp_baseline,2030,87.57
exp_baseline,2030,82.37
exp_baseline,2030,84.00
exp_baseline,2030,86.57
exp_baseline,2030,83.00
exp_baseline,2030,86.45
exp_baseline,2030,86.00
exp_baseline,2030,83.17
exp_baseline,2030,84.00
exp_baseline,2030,85.57
exp_baseline,2030,85.99
exp_baseline,2030,86.57
exp_baseline,2030,85.00
exp_baseline,2030,84.00
exp_baseline,2030,85.65
exp_baseline,2030,84.65
exp_baseline,2030,86.00
exp_baseline,2030,83.00
exp_baseline,2030,86.00
exp_baseline,2030,87.00
exp_baseline,2030,85.57
exp_baseline,2030,85.45
exp_baseline,2030,87.00
exp_baseline,2030,83.99
exp_baseline,2030,82.32
exp_baseline,2030,77.30
exp_baseline,2030,83.32
exp_baseline,2030,78.30
exp_baseline,2030,83.32
exp_baseline,2030,79.30
exp_baseline,2030,79.30
exp_baseline,2030,78.30
exp_baseline,2030,77.30
exp_baseline,2030,78.30
exp_baseline,2030,18.13
exp_baseline,2030,82.32
exp_baseline,2030,49.42
exp_baseline,2030,17.13
exp_baseline,2030,77.30
exp_baseline,2030,82.32
exp_baseline,2030,81.32
exp_baseline,2030,78.30
exp_baseline,2030,83.32
exp_baseline,2030,20.13
exp_baseline,2030,79.30
exp_baseline,2030,19.13
exp_baseline,2030,83.32
exp_baseline,2030,83.32
exp_baseline,2030,79.30
exp_baseline,2030,78.30
exp_baseline,2030,78.30
exp_baseline,2030,48.42
exp_baseline,2030,82.99
exp_baseline,2030,83.99
exp_baseline,2030,77.30
exp_baseline,2030,82.32
exp_baseline,2030,80.32
exp_baseline,2030,77.30
exp_baseline,2030,81.99
exp_baseline,2030,77.31
exp_baseline,2030,83.19
exp_baseline,2030,78.31
exp_baseline,2030,82.99
exp_baseline,2030,79.30
exp_baseline,2030,79.31
exp_baseline,2030,78.31
exp_baseline,2030,77.31
exp_baseline,2030,78.31
exp_baseline,2030,18.13
exp_baseline,2030,81.99
exp_baseline,2030,48.13
exp_baseline,2030,17.13
exp_baseline,2030,77.31
exp_baseline,2030,82.31
exp_baseline,2030,81.31
exp_baseline,2030,78.31
exp_baseline,2030,80.30
exp_baseline,2030,20.13
exp_baseline,2030,79.31
exp_baseline,2030,19.13
exp_baseline,2030,82.19
exp_baseline,2030,82.99
exp_baseline,2030,79.30
exp_baseline,2030,78.31
exp_baseline,2030,78.31
exp_baseline,2030,47.13
exp_baseline,2030,82.99
exp_baseline,2030,83.99
exp_baseline,2030,77.31
exp_baseline,2030,81.31
exp_baseline,2030,80.31
exp_baseline,2030,77.31
exp_baseline,2030,73.30
exp_baseline,2030,-50.00
exp_baseline,2030,59.90
exp_baseline,2030,-48.00
exp_baseline,2030,73.91
exp_baseline,2030,6.16
exp_baseline,2030,-49.00
exp_baseline,2030,-50.00
