region,WKT_coord,price_difference
AL,POINT(20.04213669661442 40.757193317627184),3.18
AT,POINT(14.643720371396114 47.604336321868544),2.74
BA,POINT(17.72323747722018 44.23064360197776),3.15
BE,POINT(4.732584061491906 50.67005482388748),3.71
BG,POINT(25.476001243681623 42.683793247761685),3.11
CH,POINT(8.105437330434569 46.98076588385425),3.20
CZ,POINT(15.458558110653883 49.750617328319265),3.83
DE,POINT(10.683182428714133 51.4504460347915),4.44
DK,POINT(9.329871564264806 56.27070058555722),2.38
EE,POINT(25.49206413148815 58.95641209149892),0.74
GR,POINT(21.58622686520374 39.49499628417675),2.59
ES,POINT(-3.5761617804978414 40.577347478895916),2.24
FI,POINT(25.846278693589255 62.47145664414714),0.85
FR,POINT(2.7762609208856475 47.270429753518584),2.55
HR,POINT( 17.060116855387093 45.55078030269567),2.78
HU,POINT(19.030977785781346 47.096480224944656),2.59
IE,POINT(-7.940265365076272  53.193440176376924),3.28
IT,POINT(12.49937953092575  42.83857155276493),3.51
LT,POINT(23.940276282957996 55.4926593279215),0.45
LU,POINT(6.087663344818793 49.74195382418668),4.35
LV,POINT(25.913356475024983 56.82520893075417),0.83
ME,POINT(19.183128990050903 42.8559943626729),3.21
MK,POINT(21.661290071372946 41.677525115494745),3.04
NL,POINT(5.5865428674513 52.184790872750455),4.25
NO,POINT(8.672756714833213 61.05591903075788),-0.15
PL,POINT(19.349574485869738 52.14052079208861),2.16
PT,POINT(-8.251496883220284 39.14878442215263),2.35
RO,POINT(24.861794299744417 46.01396918690267),2.37
RS,POINT(20.919030072541972 44.174739317859036),3.10
SE,POINT(15.159594006220601 62.758548882733635),0.65
SI,POINT(14.701876731926802 46.0496550192172),2.89
SK,POINT(19.612859549645293 48.773443723888306),3.85
GB,POINT(-1.0941470451081727 52.183197844961796),3.50
