scenario,simyear,value
full_avail_ref,2030,74.8778
full_avail_ref,2030,74.7172
full_avail_ref,2030,76.8778
full_avail_ref,2030,74.3728
full_avail_ref,2030,76.7172
full_avail_ref,2030,74.3728
full_avail_ref,2030,76.1672
full_avail_ref,2030,75.1672
full_avail_ref,2030,74.1672
full_avail_ref,2030,73.1672
full_avail_ref,2030,26.0741
full_avail_ref,2030,74.8778
full_avail_ref,2030,72.3728
full_avail_ref,2030,25.0741
full_avail_ref,2030,73.3728
full_avail_ref,2030,76.3766
full_avail_ref,2030,76.7172
full_avail_ref,2030,74.3728
full_avail_ref,2030,74.3728
full_avail_ref,2030,28.0741
full_avail_ref,2030,76.1345
full_avail_ref,2030,27.0741
full_avail_ref,2030,75.8778
full_avail_ref,2030,75.8778
full_avail_ref,2030,75.3728
full_avail_ref,2030,74.585
full_avail_ref,2030,76.1672
full_avail_ref,2030,70.9612
full_avail_ref,2030,77.7172
full_avail_ref,2030,77.7172
full_avail_ref,2030,73.1672
full_avail_ref,2030,75.7172
full_avail_ref,2030,76.1672
full_avail_ref,2030,73.3728
full_avail_ref,2030,70.209
full_avail_ref,2030,13.4199
full_avail_ref,2030,70.209
full_avail_ref,2030,5.6061
full_avail_ref,2030,70.209
full_avail_ref,2030,12.4199
full_avail_ref,2030,21.1417
full_avail_ref,2030,3.74022
full_avail_ref,2030,4.74022
full_avail_ref,2030,3.74022
full_avail_ref,2030,61.2065
full_avail_ref,2030,69.209
full_avail_ref,2030,72.6322
full_avail_ref,2030,60.2065
full_avail_ref,2030,6.74022
full_avail_ref,2030,69.209
full_avail_ref,2030,68.209
full_avail_ref,2030,5.74022
full_avail_ref,2030,62.8328
full_avail_ref,2030,59.2065
full_avail_ref,2030,4.74022
full_avail_ref,2030,60.2065
full_avail_ref,2030,69.209
full_avail_ref,2030,70.209
full_avail_ref,2030,4.6061
full_avail_ref,2030,66.7864
full_avail_ref,2030,59.257
full_avail_ref,2030,71.6322
full_avail_ref,2030,70.209
full_avail_ref,2030,71.209
full_avail_ref,2030,61.2065
full_avail_ref,2030,68.209
full_avail_ref,2030,67.209
full_avail_ref,2030,4.74022
full_avail_ref,2030,74.8536
full_avail_ref,2030,75.6744
full_avail_ref,2030,76.8536
full_avail_ref,2030,75.2308
full_avail_ref,2030,75.8536
full_avail_ref,2030,74.6744
full_avail_ref,2030,77.2308
full_avail_ref,2030,76.2308
full_avail_ref,2030,75.2308
full_avail_ref,2030,74.2308
full_avail_ref,2030,77.2308
full_avail_ref,2030,74.8536
full_avail_ref,2030,72.6744
full_avail_ref,2030,76.2308
full_avail_ref,2030,73.6744
full_avail_ref,2030,76.3418
full_avail_ref,2030,76.6744
full_avail_ref,2030,73.2308
full_avail_ref,2030,74.6744
full_avail_ref,2030,75.2308
full_avail_ref,2030,76.2308
full_avail_ref,2030,76.2308
full_avail_ref,2030,75.8536
full_avail_ref,2030,75.8536
full_avail_ref,2030,75.585
full_avail_ref,2030,74.585
full_avail_ref,2030,77.2308
full_avail_ref,2030,71.6744
full_avail_ref,2030,76.8536
full_avail_ref,2030,77.6744
full_avail_ref,2030,75.2308
full_avail_ref,2030,75.6744
full_avail_ref,2030,77.4897
full_avail_ref,2030,74.2308
full_avail_ref,2030,74.8778
full_avail_ref,2030,74.1672
full_avail_ref,2030,76.8778
full_avail_ref,2030,74.739
full_avail_ref,2030,75.1672
full_avail_ref,2030,74.5885
full_avail_ref,2030,76.1672
full_avail_ref,2030,75.1672
full_avail_ref,2030,74.585
full_avail_ref,2030,73.585
full_avail_ref,2030,26.0741
full_avail_ref,2030,74.1672
full_avail_ref,2030,72.6744
full_avail_ref,2030,25.0741
full_avail_ref,2030,73.739
full_avail_ref,2030,76.1672
full_avail_ref,2030,75.1672
full_avail_ref,2030,74.739
full_avail_ref,2030,74.7869
full_avail_ref,2030,28.0741
full_avail_ref,2030,76.1672
full_avail_ref,2030,27.0741
full_avail_ref,2030,75.8778
full_avail_ref,2030,75.8778
full_avail_ref,2030,75.585
full_avail_ref,2030,74.585
full_avail_ref,2030,76.1672
full_avail_ref,2030,69.9429
full_avail_ref,2030,76.1672
full_avail_ref,2030,77.1672
full_avail_ref,2030,73.585
full_avail_ref,2030,75.1672
full_avail_ref,2030,76.1672
full_avail_ref,2030,73.739
full_avail_ref,2030,74.6632
full_avail_ref,2030,73.585
full_avail_ref,2030,75.5842
full_avail_ref,2030,74.3728
full_avail_ref,2030,74.5842
full_avail_ref,2030,74.3728
full_avail_ref,2030,74.585
