scenario,simyear,value
full_avail_ref_BAT_sens_50,2030,72.4389
full_avail_ref_BAT_sens_50,2030,73.4389
full_avail_ref_BAT_sens_50,2030,74.4389
full_avail_ref_BAT_sens_50,2030,71.9553
full_avail_ref_BAT_sens_50,2030,73.7463
full_avail_ref_BAT_sens_50,2030,72.4389
full_avail_ref_BAT_sens_50,2030,73.9553
full_avail_ref_BAT_sens_50,2030,72.9553
full_avail_ref_BAT_sens_50,2030,71.9553
full_avail_ref_BAT_sens_50,2030,70.9553
full_avail_ref_BAT_sens_50,2030,32.5688
full_avail_ref_BAT_sens_50,2030,72.7463
full_avail_ref_BAT_sens_50,2030,68.2334
full_avail_ref_BAT_sens_50,2030,31.5688
full_avail_ref_BAT_sens_50,2030,70.9553
full_avail_ref_BAT_sens_50,2030,73.9553
full_avail_ref_BAT_sens_50,2030,74.4389
full_avail_ref_BAT_sens_50,2030,71.9553
full_avail_ref_BAT_sens_50,2030,71.9553
full_avail_ref_BAT_sens_50,2030,34.5688
full_avail_ref_BAT_sens_50,2030,73.8553
full_avail_ref_BAT_sens_50,2030,33.5688
full_avail_ref_BAT_sens_50,2030,73.4389
full_avail_ref_BAT_sens_50,2030,73.7463
full_avail_ref_BAT_sens_50,2030,72.9553
full_avail_ref_BAT_sens_50,2030,71.9553
full_avail_ref_BAT_sens_50,2030,73.9553
full_avail_ref_BAT_sens_50,2030,67.2334
full_avail_ref_BAT_sens_50,2030,74.7463
full_avail_ref_BAT_sens_50,2030,75.4389
full_avail_ref_BAT_sens_50,2030,70.9553
full_avail_ref_BAT_sens_50,2030,73.4389
full_avail_ref_BAT_sens_50,2030,73.8927
full_avail_ref_BAT_sens_50,2030,70.9553
full_avail_ref_BAT_sens_50,2030,66.8047
full_avail_ref_BAT_sens_50,2030,10.6845
full_avail_ref_BAT_sens_50,2030,66.8047
full_avail_ref_BAT_sens_50,2030,3.419
full_avail_ref_BAT_sens_50,2030,66.8047
full_avail_ref_BAT_sens_50,2030,9.68452
full_avail_ref_BAT_sens_50,2030,16.9013
full_avail_ref_BAT_sens_50,2030,1.419
full_avail_ref_BAT_sens_50,2030,2.419
full_avail_ref_BAT_sens_50,2030,1.419
full_avail_ref_BAT_sens_50,2030,63.1242
full_avail_ref_BAT_sens_50,2030,65.8047
full_avail_ref_BAT_sens_50,2030,69.1294
full_avail_ref_BAT_sens_50,2030,62.1242
full_avail_ref_BAT_sens_50,2030,5.419
full_avail_ref_BAT_sens_50,2030,65.8047
full_avail_ref_BAT_sens_50,2030,64.8047
full_avail_ref_BAT_sens_50,2030,4.419
