scenario;r;rr;value_min;Region_1_Coord;Region_2_Coord
6_AVG_SWE;R_AL;R_ME;0;Point (20.06838460591877649 41.14228482341689386);Point (19.25030495955028798 42.79159324834609635)
6_AVG_SWE;R_AL;R_MK;0;Point (20.06838460591877649 41.14228482341689386);Point (21.69747626732899093 41.5996823122770536)
6_AVG_SWE;R_AL;R_RS;0;Point (20.06838460591877649 41.14228482341689386);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_AT;R_CH;0;Point (14.14019348879524962 47.59290260691519592);Point (8.234429172288662 46.80256937605332013)
6_AVG_SWE;R_AT;R_CZ;0;Point (14.14019348879524962 47.59290260691519592);Point (15.3384120900681058 49.74285888947336787)
6_AVG_SWE;R_AT;R_DE;-0.37984;Point (14.14019348879524962 47.59290260691519592);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_AT;R_HU;-0.09654;Point (14.14019348879524962 47.59290260691519592);Point (19.41344796118307769 47.16650222537332127)
6_AVG_SWE;R_AT;R_IT;-0.34842;Point (14.14019348879524962 47.59290260691519592);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_AT;R_SI;-0.1159;Point (14.14019348879524962 47.59290260691519592);Point (14.82653748920358083 46.12356376353400123)
6_AVG_SWE;R_AT;R_SK;-0.39319;Point (14.14019348879524962 47.59290260691519592);Point (19.49165388227613604 48.70753128946242327)
6_AVG_SWE;R_BA;R_HR;0;Point (17.78653069680730781 44.1681152245203279);Point (16.41177821249747026 45.05116186966237279)
6_AVG_SWE;R_BE;R_DE;-0.037949;Point (4.66398918713680199 50.64285116363035399);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_BE;R_FR;0;Point (4.66398918713680199 50.64285116363035399);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_BE;R_LU;-0.029422;Point (4.66398918713680199 50.64285116363035399);Point (6.0878139690320392 49.77062957536391963)
6_AVG_SWE;R_BE;R_NL;0;Point (4.66398918713680199 50.64285116363035399);Point (5.60341802694661251 52.2492632896254392)
6_AVG_SWE;R_BE;R_UK;0;Point (4.66398918713680199 50.64285116363035399);Point (-2.89558470050635464 54.15534972029963967)
6_AVG_SWE;R_BG;R_GR;0;Point (25.23150624402950726 42.76137671439207821);Point (22.95974634066739384 39.06853720123029206)
6_AVG_SWE;R_BG;R_MK;-7.75E-09;Point (25.23150624402950726 42.76137671439207821);Point (21.69747626732899093 41.5996823122770536)
6_AVG_SWE;R_BG;R_RO;0;Point (25.23150624402950726 42.76137671439207821);Point (24.96925875927502858 45.84361473342863746)
6_AVG_SWE;R_BG;R_RS;0;Point (25.23150624402950726 42.76137671439207821);Point (20.80527172323537499 44.03149841861639402)
6_AVG_SWE;R_CH;R_AT;-0.25259;Point (8.234429172288662 46.80256937605332013);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_CH;R_DE;-0.52435;Point (8.234429172288662 46.80256937605332013);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_CH;R_FR;0;Point (8.234429172288662 46.80256937605332013);Point (2.55195521677779524 46.56450205398793685)
6_AVG_SWE;R_CH;R_IT;-0.11052;Point (8.234429172288662 46.80256937605332013);Point (12.07174297035683175 42.79578239851078791)
6_AVG_SWE;R_CZ;R_AT;-0.063444;Point (15.3384120900681058 49.74285888947336787);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_CZ;R_DE;-0.010554;Point (15.3384120900681058 49.74285888947336787);Point (10.39366155475279996 51.10659218573432838)
6_AVG_SWE;R_CZ;R_PL;0;Point (15.3384120900681058 49.74285888947336787);Point (19.40088385467417353 52.1246100865655464)
6_AVG_SWE;R_CZ;R_SK;-0.38916;Point (15.3384120900681058 49.74285888947336787);Point (19.49165388227613604 48.70753128946242327)
6_AVG_SWE;R_DE;R_AT;0;Point (10.39366155475279996 51.10659218573432838);Point (14.14019348879524962 47.59290260691519592)
6_AVG_SWE;R_DE;R_BE;0;Point (10.39366155475279996 51.10659218573432838);Point (4.66398918713680199 50.64285116363035399)
6_AVG_SWE;R_DE;R_CH;0;Point (10.39366155475279996 51.10659218573432838);Point (8.234429172288662 46.80256937605332013)
6_AVG_SWE;R_DE;R_CZ;0;Point (10.39366155475279996 51.10659218573432838);Point (15.3384120900681058 49.74285888947336787)
