country_code;WKT
AL;Point (20.06838460591877649 41.14228482341689386)
AT;Point (14.14019348879524962 47.59290260691519592)
BA;Point (17.78653069680730781 44.1681152245203279)
BE;Point (4.66398918713680199 50.64285116363035399)
BG;Point (25.23150624402950726 42.76137671439207821)
CH;Point (8.234429172288662 46.80256937605332013)
CZ;Point (15.3384120900681058 49.74285888947336787)
DE;Point (10.39366155475279996 51.10659218573432838)
DK;Point (10.0462984146926555 55.96339824225690762)
EE;Point (25.52761631201438064 58.67413590786344457)
GR;Point (22.95974634066739384 39.06853720123029206)
ES;Point (-3.64956496042895662 40.22682992875569852)
FI;Point (26.26637086488721096 64.50042200031850825)
FR;Point (2.55195521677779524 46.56450205398793685)
HR;Point (16.41177821249747026 45.05116186966237279)
HU;Point (19.41344796118307769 47.16650222537332127)
IE;Point (-8.15057896021401795 53.17638162826426651)
IT;Point (12.07174297035683175 42.79578239851078791)
LT;Point (23.89812325011706307 55.33567048559037005)
LU;Point (6.0878139690320392 49.77062957536391963)
LV;Point (24.92942396864251009 56.85753443708565413)
ME;Point (19.25030495955028798 42.79159324834609635)
MK;Point (21.69747626732899093 41.5996823122770536)
NL;Point (5.60341802694661251 52.2492632896254392)
NO;Point (6.098200857719917 60.76723986169972)
PL;Point (19.40088385467417353 52.1246100865655464)
PT;Point (-7.96218719075277637 39.69190982231604892)
RO;Point (24.96925875927502858 45.84361473342863746)
RS;Point (20.80527172323537499 44.03149841861639402)
SE;Point (16.73975403305356124 62.78989678415778997)
SI;Point (14.82653748920358083 46.12356376353400123)
SK;Point (19.49165388227613604 48.70753128946242327)
UK;Point (-2.89558470050635464 54.15534972029963967)
