WKT;WKT_old;Region_1;Region_2;Region_1_Coord;Region_2_Coord;NEW_LINES;LoadFlow;YYY;XCapacityMonth
MultiLineString ((13.87409955486808855 47.27769590531206489, 11.30156225760652511 45.71314266348026223));LINESTRING (14.14019348879524962 47.59290260691519592,12.07174297035683175 42.79578239851078791);R_AT;R_IT;Point (14.14019348879524962 47.59290260691519592);Point (12.07174297035683175 42.79578239851078791);MultiLineString ((13.87409955486808855 47.27769590531206489, 11.30156225760652511 45.71314266348026223));NTC;2040;2375
MultiLineString ((14.65154305534573353 46.07357292636064017, 14.46557650373646453 46.7644231763396192));LINESTRING (14.14019348879524962 47.59290260691519592,14.82653748920358083 46.12356376353400123);R_AT;R_SI;Point (14.14019348879524962 47.59290260691519592);Point (14.82653748920358083 46.12356376353400123);MultiLineString ((14.65154305534573353 46.07357292636064017, 14.46557650373646453 46.7644231763396192));NTC;2040;1950
MultiLineString ((5.84525197601509561 50.5373023492166169, 8.4759038206545565 50.93127238335114271));LINESTRING (4.66398918713680199 50.64285116363035399,10.39366155475279996 51.10659218573432838);R_BE;R_DE;Point (4.66398918713680199 50.64285116363035399);Point (10.39366155475279996 51.10659218573432838);MultiLineString ((5.84525197601509561 50.5373023492166169, 8.4759038206545565 50.93127238335114271));NTC;2040;2000
MultiLineString ((2.94856464782348171 48.11213751567773755, 4.58093771194929289 50.44034797494555278));LINESTRING (4.66398918713680199 50.64285116363035399,2.55195521677779524 46.56450205398793685);R_BE;R_FR;Point (4.66398918713680199 50.64285116363035399);Point (2.55195521677779524 46.56450205398793685);MultiLineString ((2.94856464782348171 48.11213751567773755, 4.58093771194929289 50.44034797494555278));NTC;2040;3800
MultiLineString ((5.93371523146811608 49.87524930343233365, 5.53530772333297971 50.075409996584753));LINESTRING (4.66398918713680199 50.64285116363035399,6.0878139690320392 49.77062957536391963);R_BE;R_LU;Point (4.66398918713680199 50.64285116363035399);Point (6.0878139690320392 49.77062957536391963);MultiLineString ((5.93371523146811608 49.87524930343233365, 5.53530772333297971 50.075409996584753));NTC;2040;680
MultiLineString ((5.44878161945921935 51.72529701218429921, 4.94253934007842943 50.82697272203432703));LINESTRING (4.66398918713680199 50.64285116363035399,5.60341802694661251 52.2492632896254392);R_BE;R_NL;Point (4.66398918713680199 50.64285116363035399);Point (5.60341802694661251 52.2492632896254392);MultiLineString ((5.44878161945921935 51.72529701218429921, 4.94253934007842943 50.82697272203432703));NTC;2040;7400
MultiLineString ((0.83706942642656534 52.26758042041441854, 4.13668428310492686 50.76820154294838261));LINESTRING (4.66398918713680199 50.64285116363035399,-2.89558470050635464 54.15534972029963967);R_BE;R_UK;Point (4.66398918713680199 50.64285116363035399);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((0.83706942642656534 52.26758042041441854, 4.13668428310492686 50.76820154294838261));NTC;2040;2400
MultiLineString ((31.80954031007323124 40.63965291954268366, 26.80910636680174974 43.08596021824114075));LINESTRING (25.23150624402950726 42.76137671439207821,35.17967189183074339 39.060595341662804);R_BG;R_TR;Point (25.23150624402950726 42.76137671439207821);Point (35.17967189183074339 39.060595341662804);MultiLineString ((31.80954031007323124 40.63965291954268366, 26.80910636680174974 43.08596021824114075));NTC;2040;900
MultiLineString ((10.0152936089757354 49.27650544267208943, 8.57405283400389706 46.94017735630463051));LINESTRING (8.234429172288662 46.80256937605332013,10.39366155475279996 51.10659218573432838);R_CH;R_DE;Point (8.234429172288662 46.80256937605332013);Point (10.39366155475279996 51.10659218573432838);MultiLineString ((10.0152936089757354 49.27650544267208943, 8.57405283400389706 46.94017735630463051));NTC;2040;7500
MultiLineString ((10.0152936089757354 49.27650544267208943, 8.57405283400389706 46.94017735630463051));LINESTRING (10.39366155475279996 51.10659218573432838,8.234429172288662 46.80256937605332013);R_DE;R_CH;Point (10.39366155475279996 51.10659218573432838);Point (8.234429172288662 46.80256937605332013);MultiLineString ((10.0152936089757354 49.27650544267208943, 8.57405283400389706 46.94017735630463051));NTC;2040;6000
MultiLineString ((8.63604168454032006 46.6005176286923799, 10.73333112768930953 44.85541087464203258));LINESTRING (8.234429172288662 46.80256937605332013,12.07174297035683175 42.79578239851078791);R_CH;R_IT;Point (8.234429172288662 46.80256937605332013);Point (12.07174297035683175 42.79578239851078791);MultiLineString ((8.63604168454032006 46.6005176286923799, 10.73333112768930953 44.85541087464203258));NTC;2040;8772
MultiLineString ((8.55135633458644939 52.30456320777783219, 6.14915117787699206 52.3819862575768127));LINESTRING (10.39366155475279996 51.10659218573432838,5.60341802694661251 52.2492632896254392);R_DE;R_NL;Point (10.39366155475279996 51.10659218573432838);Point (5.60341802694661251 52.2492632896254392);MultiLineString ((8.55135633458644939 52.30456320777783219, 6.14915117787699206 52.3819862575768127));NTC;2040;7000
MultiLineString ((9.2791760088557087 56.21239706065560426, -0.99160166439792463 54.33539880684710255));LINESTRING (10.0462984146926555 55.96339824225690762,-2.89558470050635464 54.15534972029963967);R_DK;R_UK;Point (10.0462984146926555 55.96339824225690762);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((9.2791760088557087 56.21239706065560426, -0.99160166439792463 54.33539880684710255));NTC;2040;2800
MultiLineString ((-2.28251461161379066 41.77611831401414122, 0.46894467631007469 44.94948477342357052));LINESTRING (-3.64956496042895662 40.22682992875569852,2.55195521677779524 46.56450205398793685);R_ES;R_FR;Point (-3.64956496042895662 40.22682992875569852);Point (2.55195521677779524 46.56450205398793685);MultiLineString ((-2.28251461161379066 41.77611831401414122, 0.46894467631007469 44.94948477342357052));NTC;2040;8000
MultiLineString ((1.33685453387647635 48.15350924627485085, -0.6919888868052082 51.20556741851108029));LINESTRING (2.55195521677779524 46.56450205398793685,-2.89558470050635464 54.15534972029963967);R_FR;R_UK;Point (2.55195521677779524 46.56450205398793685);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((1.33685453387647635 48.15350924627485085, -0.6919888868052082 51.20556741851108029));NTC;2040;6850
MultiLineString ((-2.58158627334465063 54.6531779925014547, -7.127475531653654 53.74347729872711454));LINESTRING (-8.15057896021401795 53.17638162826426651,-2.89558470050635464 54.15534972029963967);R_IE;R_UK;Point (-8.15057896021401795 53.17638162826426651);Point (-2.89558470050635464 54.15534972029963967);MultiLineString ((-2.58158627334465063 54.6531779925014547, -7.127475531653654 53.74347729872711454));NTC;2040;4650
MultiLineString ((16.51895717775547823 45.37033606032389343, 17.78653069680730781 44.1681152245203279));LINESTRING (17.78653069680730781 44.1681152245203279,16.41177821249747026 45.05116186966237279);R_BA;R_HR;Point (17.78653069680730781 44.1681152245203279);Point (16.41177821249747026 45.05116186966237279);MultiLineString ((16.51895717775547823 45.37033606032389343, 17.78653069680730781 44.1681152245203279));NTC;2040;1898
MultiLineString ((23.73671995897061393 42.98558695173787214, 22.17407052642689891 43.31287848605594348));LINESTRING (25.23150624402950726 42.76137671439207821,20.80527172323537499 44.03149841861639402);R_BG;R_RS;Point (25.23150624402950726 42.76137671439207821);Point (20.80527172323537499 44.03149841861639402);MultiLineString ((23.73671995897061393 42.98558695173787214, 22.17407052642689891 43.31287848605594348));NTC;2040;870
